Ticker,Entry Z,Window,Strategy Return,Buy Hold Return,Sharpe,Max Drawdown,Trades,Closed Trades,Win Rate,Avg Trade Return
NVDA,-2.5,20,1.536618543150572,9.034102010442624,1.4088935797079496,-0.09558870743602377,9,9,1.0,0.11128461609753042
NVDA,-2.0,20,1.9131645379412499,9.032140316051965,0.9623534383383563,-0.4001831881042113,23,22,0.9090909090909091,0.05484102470024694
NVDA,-1.5,10,2.45527747486246,10.026943057322624,0.9525283517344607,-0.2697497751013723,51,50,0.82,0.02817369792825394
MSFT,-1.5,20,0.9597926634441962,0.5562199173232469,0.8999449549602008,-0.13169616819878827,35,35,0.8,0.021045987029283852
MSFT,-2.0,20,0.8432965693100878,0.5565204563966719,0.8929226323620495,-0.13169622687141902,24,24,0.7083333333333334,0.02792021506150417
SPY,-2.5,10,0.09908869906817608,0.8936662043458168,0.8758764521598215,-0.030348769040170698,4,4,1.0,0.024926886015540217
NVDA,-1.5,20,1.8177065982656915,9.034587794450053,0.8512522627883243,-0.42379933928121616,33,32,0.875,0.037220546570889954
NVDA,-1.0,10,1.6315545521376862,10.028019210567653,0.7425855744803165,-0.31921880073696207,62,61,0.7049180327868853,0.0192311570625596
AAPL,-2.5,50,0.6199835260661224,1.0870334749624355,0.7281284894033023,-0.2298896218655655,7,7,1.0,0.07355288501293443
SPY,-2.0,10,0.34366765694179,0.8936789284769346,0.7228763943430523,-0.07540197159231354,29,28,0.7857142857142857,0.0110785138507102
AAPL,-1.5,50,0.6894092087676416,1.0872368217863677,0.6814908950693296,-0.2298896218655655,15,15,0.8,0.037579375159831084
SPY,-2.0,20,0.4087995261605484,0.8115835760060248,0.6671016544643822,-0.10443229617427108,24,24,0.875,0.015589310499271461
QQQ,-2.0,10,0.40920900417122685,1.1213933446036344,0.6653029720828414,-0.11940103021650716,28,27,0.8148148148148148,0.014081232461877424
MSFT,-1.0,20,0.6074734799873613,0.556313717208119,0.631332002440588,-0.16478389599547882,40,40,0.7,0.013635722211111142
NVDA,-1.0,20,1.0793204119023665,9.033118446123048,0.6263596065310877,-0.4614332894750155,37,36,0.8611111111111112,0.02444317880870308
AAPL,-1.0,50,0.6352385337584783,1.08720268028876,0.6194237424244816,-0.2424221630259834,20,20,0.85,0.026817256454248116
NVDA,-2.5,50,0.5556748384364931,9.304690538508494,0.6057619937491441,-0.2011372055066195,4,4,1.0,0.12001531127622744
MSFT,-2.5,20,0.24752957904332296,0.5565195650572992,0.596675471873783,-0.07400469857266101,7,7,0.8571428571428571,0.03345985268574562
MSFT,-2.0,10,0.314442324697054,0.6658359873519137,0.5600954849403547,-0.12542207639145286,24,24,0.75,0.012745656404289351
NVDA,-1.5,50,0.7924880374732539,9.304691527110949,0.5592636623369148,-0.4156330132938103,14,14,0.7142857142857143,0.04900789274773022
AAPL,-2.0,50,0.4558299053852528,1.0872363900133308,0.55466619265623,-0.22988975889189556,10,10,0.7,0.040012122378010065
NVDA,-1.0,50,0.8092629937037681,9.302540674712523,0.5461922747450849,-0.5028971927010679,19,19,0.7894736842105263,0.037739302366681375
AAPL,-2.0,20,0.43911031048578764,1.2568232736256242,0.5433413312107762,-0.1754808107809679,21,21,0.7619047619047619,0.019176891761649755
NVDA,-2.0,10,0.5506889805247928,10.026946454274194,0.5115933308382765,-0.30698398625365886,22,22,0.7727272727272727,0.02369905810531294
NVDA,-2.0,50,0.6013213354661078,9.30318361639264,0.49105164734418916,-0.3503588716287367,10,10,0.7,0.05366248461644203
QQQ,-1.5,10,0.36013971396963584,1.1213931498966119,0.488361574249261,-0.18051519460120546,50,49,0.6938775510204082,0.0077001252819615664
QQQ,-1.0,10,0.36814983327594253,1.1213180717207805,0.4806619502793599,-0.2092686531099478,65,64,0.703125,0.006265321498945261
QQQ,-1.5,20,0.35819397157728905,1.0243444354525133,0.4765571987155979,-0.2090883197238983,30,30,0.7666666666666667,0.01202381356928878
QQQ,-2.5,50,0.22368126858667137,0.9675181989617012,0.43123948765826425,-0.15685168234990654,7,7,0.7142857142857143,0.03095224208159359
SPY,-2.5,20,0.16189280245309146,0.8115837120381588,0.42305837172821736,-0.1044324482561303,10,10,0.8,0.016343584158780657
AAPL,-2.5,20,0.21171910858304654,1.2568230212080835,0.4143325077856345,-0.09265445826093788,8,8,0.75,0.025788663464877265
QQQ,-1.0,20,0.2442052051325867,1.0242149823930422,0.35281419480039644,-0.24660763222009485,39,38,0.7631578947368421,0.007398242942955216
AAPL,-1.5,20,0.2414846347188393,1.2570434160937167,0.3370415760178533,-0.18815401649831875,25,25,0.64,0.010407673723333963
